open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786
0.1684,0.1693,0.1551,0.1614,2187137.0,2024-10-25 23:00:00+03:00,2024-10-26 02:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.1612,0.1646,0.1586,0.1637,1086645.0,2024-10-26 03:00:00+03:00,2024-10-26 06:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.1637,0.165,0.1635,0.1638,597649.0,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.1638,0.1643,0.1629,0.1634,222114.0,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,
0.1633,0.1635,0.1589,0.1598,708193.0,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,-99.17201456755012,-2.479300364188753,,,37.50000000000011,-1.2499999999999893,,,0.1551,0.1693,33.098591549295804,-1.6901408450704196,,,,,,,,
0.1597,0.1612,0.159,0.1611,415456.0,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,-46.43081248809174,-1.1607703122022934,,,48.05194805194809,-0.1948051948051912,,,0.1586,0.165,39.06249999999993,-1.093750000000007,,,,,,,,
0.161,0.1624,0.1606,0.1612,576640.0,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,-26.072500472697378,-0.6518125118174345,,,27.272727272727266,-2.2727272727272734,,,0.1589,0.165,37.704918032786864,-1.2295081967213137,,,,,,,,
0.1612,0.1618,0.1601,0.1615,433866.0,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,5.151116061909227,0.1287779015477307,,,29.824561403508838,-2.017543859649116,,,0.1589,0.1643,48.14814814814809,-0.18518518518519117,,,,,,,,
0.1616,0.1625,0.1613,0.1624,275346.0,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,85.52359741197405,2.138089935299351,,,41.935483870967715,-0.8064516129032285,,,0.1589,0.1635,76.08695652173871,2.6086956521738713,,,,,,,,
0.1623,0.1625,0.1613,0.1619,129681.0,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,34.84382500416819,0.8710956251042048,,,83.87096774193543,3.387096774193543,,,0.159,0.1625,82.85714285714238,3.285714285714238,,,,,,,,
